id,code,p_code,level,name
269,140622,140600,3,应县
270,140623,140600,3,右玉县
271,140681,140600,3,怀仁市
272,140700,140000,2,晋中市
273,140702,140700,3,榆次区
274,140703,140700,3,太谷区
275,140721,140700,3,榆社县
276,140722,140700,3,左权县
277,140723,140700,3,和顺县
278,140724,140700,3,昔阳县
279,140725,140700,3,寿阳县
280,140727,140700,3,祁县
281,140728,140700,3,平遥县
282,140729,140700,3,灵石县
283,140781,140700,3,介休市
284,140800,140000,2,运城市
285,140802,140800,3,盐湖区
286,140821,140800,3,临猗县
287,140822,140800,3,万荣县
288,140823,140800,3,闻喜县
289,140824,140800,3,稷山县
290,140825,140800,3,新绛县
291,140826,140800,3,绛县
292,140827,140800,3,垣曲县
293,140828,140800,3,夏县
294,140829,140800,3,平陆县
295,140830,140800,3,芮城县
296,140881,140800,3,永济市
297,140882,140800,3,河津市
298,140900,140000,2,忻州市
299,140902,140900,3,忻府区
300,140921,140900,3,定襄县
301,140922,140900,3,五台县
302,140923,140900,3,代县
303,140924,140900,3,繁峙县
304,140925,140900,3,宁武县
305,140926,140900,3,静乐县
306,140927,140900,3,神池县
307,140928,140900,3,五寨县
308,140929,140900,3,岢岚县
309,140930,140900,3,河曲县
310,140931,140900,3,保德县
311,140932,140900,3,偏关县
312,140981,140900,3,原平市
313,141000,140000,2,临汾市
314,141002,141000,3,尧都区
315,141021,141000,3,曲沃县
316,141022,141000,3,翼城县
317,141023,141000,3,襄汾县
318,141024,141000,3,洪洞县
319,141025,141000,3,古县
320,141026,141000,3,安泽县
321,141027,141000,3,浮山县
322,141028,141000,3,吉县
323,141029,141000,3,乡宁县
324,141030,141000,3,大宁县
325,141031,141000,3,隰县
326,141032,141000,3,永和县
327,141033,141000,3,蒲县
328,141034,141000,3,汾西县
329,141081,141000,3,侯马市
330,141082,141000,3,霍州市
331,141100,140000,2,吕梁市
332,141102,141100,3,离石区
333,141121,141100,3,文水县
334,141122,141100,3,交城县
335,141123,141100,3,兴县
336,141124,141100,3,临县
337,141125,141100,3,柳林县
338,141126,141100,3,石楼县
339,141127,141100,3,岚县
340,141128,141100,3,方山县
341,141129,141100,3,中阳县
342,141130,141100,3,交口县
343,141181,141100,3,孝义市
344,141182,141100,3,汾阳市
345,150000,NULL,1,内蒙古自治区
346,150100,150000,2,呼和浩特市
347,150102,150100,3,新城区
348,150103,150100,3,回民区
349,150104,150100,3,玉泉区
350,150105,150100,3,赛罕区
351,150121,150100,3,土默特左旗
352,150122,150100,3,托克托县
353,150123,150100,3,和林格尔县
354,150124,150100,3,清水河县
355,150125,150100,3,武川县
356,150200,150000,2,包头市
357,150202,150200,3,东河区
358,150203,150200,3,昆都仑区
359,150204,150200,3,青山区
360,150205,150200,3,石拐区
361,150206,150200,3,白云鄂博矿区
362,150207,150200,3,九原区
363,150221,150200,3,土默特右旗
364,150222,150200,3,固阳县
365,150223,150200,3,达尔罕茂明安联合旗
366,150300,150000,2,乌海市
367,150302,150300,3,海勃湾区
368,150303,150300,3,海南区
369,150304,150300,3,乌达区
370,150400,150000,2,赤峰市
371,150402,150400,3,红山区
372,150403,150400,3,元宝山区
373,150404,150400,3,松山区
374,150421,150400,3,阿鲁科尔沁旗
375,150422,150400,3,巴林左旗
376,150423,150400,3,巴林右旗
377,150424,150400,3,林西县
378,150425,150400,3,克什克腾旗
379,150426,150400,3,翁牛特旗
380,150428,150400,3,喀喇沁旗
381,150429,150400,3,宁城县
382,150430,150400,3,敖汉旗
383,150500,150000,2,通辽市
384,150502,150500,3,科尔沁区
385,150521,150500,3,科尔沁左翼中旗
386,150522,150500,3,科尔沁左翼后旗
387,150523,150500,3,开鲁县
388,150524,150500,3,库伦旗
389,150525,150500,3,奈曼旗
390,150526,150500,3,扎鲁特旗
391,150581,150500,3,霍林郭勒市
392,150600,150000,2,鄂尔多斯市
393,150602,150600,3,东胜区
394,150603,150600,3,康巴什区
395,150621,150600,3,达拉特旗
396,150622,150600,3,准格尔旗
397,150623,150600,3,鄂托克前旗
398,150624,150600,3,鄂托克旗
399,150625,150600,3,杭锦旗
400,150626,150600,3,乌审旗
401,150627,150600,3,伊金霍洛旗
402,150700,150000,2,呼伦贝尔市
403,150702,150700,3,海拉尔区
404,150703,150700,3,扎赉诺尔区
405,150721,150700,3,阿荣旗
406,150722,150700,3,莫力达瓦达斡尔族自治旗
407,150723,150700,3,鄂伦春自治旗
408,150724,150700,3,鄂温克族自治旗
409,150725,150700,3,陈巴尔虎旗
410,150726,150700,3,新巴尔虎左旗
411,150727,150700,3,新巴尔虎右旗
412,150781,150700,3,满洲里市
413,150782,150700,3,牙克石市
414,150783,150700,3,扎兰屯市
415,150784,150700,3,额尔古纳市
416,150785,150700,3,根河市
417,150800,150000,2,巴彦淖尔市
418,150802,150800,3,临河区
419,150821,150800,3,五原县
420,150822,150800,3,磴口县
421,150823,150800,3,乌拉特前旗
422,150824,150800,3,乌拉特中旗
423,150825,150800,3,乌拉特后旗
424,150826,150800,3,杭锦后旗
425,150900,150000,2,乌兰察布市
426,150902,150900,3,集宁区
427,150921,150900,3,卓资县
428,150922,150900,3,化德县
429,150923,150900,3,商都县
430,150924,150900,3,兴和县
431,150925,150900,3,凉城县
432,150926,150900,3,察哈尔右翼前旗
433,150927,150900,3,察哈尔右翼中旗
434,150928,150900,3,察哈尔右翼后旗
435,150929,150900,3,四子王旗
436,150981,150900,3,丰镇市
437,152200,150000,2,兴安盟
438,152201,152200,3,乌兰浩特市
439,152202,152200,3,阿尔山市
440,152221,152200,3,科尔沁右翼前旗
441,152222,152200,3,科尔沁右翼中旗
442,152223,152200,3,扎赉特旗
443,152224,152200,3,突泉县
444,152500,150000,2,锡林郭勒盟
445,152501,152500,3,二连浩特市
446,152502,152500,3,锡林浩特市
447,152522,152500,3,阿巴嘎旗
448,152523,152500,3,苏尼特左旗
449,152524,152500,3,苏尼特右旗
450,152525,152500,3,东乌珠穆沁旗
451,152526,152500,3,西乌珠穆沁旗
452,152527,152500,3,太仆寺旗
453,152528,152500,3,镶黄旗
454,152529,152500,3,正镶白旗
455,152530,152500,3,正蓝旗
456,152531,152500,3,多伦县
457,152900,150000,2,阿拉善盟
458,152921,152900,3,阿拉善左旗
459,152922,152900,3,阿拉善右旗
460,152923,152900,3,额济纳旗
461,210000,NULL,1,辽宁省
462,210100,210000,2,沈阳市
463,210102,210100,3,和平区
464,210103,210100,3,沈河区
465,210104,210100,3,大东区
466,210105,210100,3,皇姑区
467,210106,210100,3,铁西区
468,210111,210100,3,苏家屯区
469,210112,210100,3,浑南区
470,210113,210100,3,沈北新区
471,210114,210100,3,于洪区
472,210115,210100,3,辽中区
473,210123,210100,3,康平县
474,210124,210100,3,法库县
475,210181,210100,3,新民市
476,210200,210000,2,大连市
477,210202,210200,3,中山区
478,210203,210200,3,西岗区
479,210204,210200,3,沙河口区
480,210211,210200,3,甘井子区
481,210212,210200,3,旅顺口区
482,210213,210200,3,金州区
483,210214,210200,3,普兰店区
484,210224,210200,3,长海县
485,210281,210200,3,瓦房店市
486,210283,210200,3,庄河市
487,210300,210000,2,鞍山市
488,210302,210300,3,铁东区
489,210303,210300,3,铁西区
490,210304,210300,3,立山区
491,210311,210300,3,千山区
492,210321,210300,3,台安县
493,210323,210300,3,岫岩满族自治县
494,210381,210300,3,海城市
495,210400,210000,2,抚顺市
496,210402,210400,3,新抚区
